HIP,Teff,e_Teff,logg,e_logg,Fe/H,e_Fe/H,source_id_1,solution_id,source_id_2,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,classprob_dsc_combmod_whitedwarf,classprob_dsc_combmod_binarystar,classprob_dsc_specmod_quasar,classprob_dsc_specmod_galaxy,classprob_dsc_specmod_star,classprob_dsc_specmod_whitedwarf,classprob_dsc_specmod_binarystar,classprob_dsc_allosmod_quasar,classprob_dsc_allosmod_galaxy,classprob_dsc_allosmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,abp_gspphot,abp_gspphot_lower,abp_gspphot_upper,arp_gspphot,arp_gspphot_lower,arp_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,mg_gspphot,mg_gspphot_lower,mg_gspphot_upper,radius_gspphot,radius_gspphot_lower,radius_gspphot_upper,logposterior_gspphot,mcmcaccept_gspphot,libname_gspphot,teff_gspspec,teff_gspspec_lower,teff_gspspec_upper,logg_gspspec,logg_gspspec_lower,logg_gspspec_upper,mh_gspspec,mh_gspspec_lower,mh_gspspec_upper,alphafe_gspspec,alphafe_gspspec_lower,alphafe_gspspec_upper,fem_gspspec,fem_gspspec_lower,fem_gspspec_upper,fem_gspspec_nlines,fem_gspspec_linescatter,sife_gspspec,sife_gspspec_lower,sife_gspspec_upper,sife_gspspec_nlines,sife_gspspec_linescatter,cafe_gspspec,cafe_gspspec_lower,cafe_gspspec_upper,cafe_gspspec_nlines,cafe_gspspec_linescatter,tife_gspspec,tife_gspspec_lower,tife_gspspec_upper,tife_gspspec_nlines,tife_gspspec_linescatter,mgfe_gspspec,mgfe_gspspec_lower,mgfe_gspspec_upper,mgfe_gspspec_nlines,mgfe_gspspec_linescatter,ndfe_gspspec,ndfe_gspspec_lower,ndfe_gspspec_upper,ndfe_gspspec_nlines,ndfe_gspspec_linescatter,feiim_gspspec,feiim_gspspec_lower,feiim_gspspec_upper,feiim_gspspec_nlines,feiim_gspspec_linescatter,sfe_gspspec,sfe_gspspec_lower,sfe_gspspec_upper,sfe_gspspec_nlines,sfe_gspspec_linescatter,zrfe_gspspec,zrfe_gspspec_lower,zrfe_gspspec_upper,zrfe_gspspec_nlines,zrfe_gspspec_linescatter,nfe_gspspec,nfe_gspspec_lower,nfe_gspspec_upper,nfe_gspspec_nlines,nfe_gspspec_linescatter,crfe_gspspec,crfe_gspspec_lower,crfe_gspspec_upper,crfe_gspspec_nlines,crfe_gspspec_linescatter,cefe_gspspec,cefe_gspspec_lower,cefe_gspspec_upper,cefe_gspspec_nlines,cefe_gspspec_linescatter,nife_gspspec,nife_gspspec_lower,nife_gspspec_upper,nife_gspspec_nlines,nife_gspspec_linescatter,cn0ew_gspspec,cn0ew_gspspec_uncertainty,cn0_gspspec_centralline,cn0_gspspec_width,dib_gspspec_lambda,dib_gspspec_lambda_uncertainty,dibew_gspspec,dibew_gspspec_uncertainty,dibewnoise_gspspec_uncertainty,dibp0_gspspec,dibp2_gspspec,dibp2_gspspec_uncertainty,dibqf_gspspec,flags_gspspec,logchisq_gspspec,ew_espels_halpha,ew_espels_halpha_uncertainty,ew_espels_halpha_flag,ew_espels_halpha_model,classlabel_espels,classlabel_espels_flag,classprob_espels_wcstar,classprob_espels_wnstar,classprob_espels_bestar,classprob_espels_ttauristar,classprob_espels_herbigstar,classprob_espels_dmestar,classprob_espels_pne,azero_esphs,azero_esphs_uncertainty,ag_esphs,ag_esphs_uncertainty,ebpminrp_esphs,ebpminrp_esphs_uncertainty,teff_esphs,teff_esphs_uncertainty,logg_esphs,logg_esphs_uncertainty,vsini_esphs,vsini_esphs_uncertainty,flags_esphs,spectraltype_esphs,activityindex_espcs,activityindex_espcs_uncertainty,activityindex_espcs_input,teff_espucd,teff_espucd_uncertainty,flags_espucd,radius_flame,radius_flame_lower,radius_flame_upper,lum_flame,lum_flame_lower,lum_flame_upper,mass_flame,mass_flame_lower,mass_flame_upper,age_flame,age_flame_lower,age_flame_upper,flags_flame,evolstage_flame,gravredshift_flame,gravredshift_flame_lower,gravredshift_flame_upper,bc_flame,mh_msc,mh_msc_upper,mh_msc_lower,azero_msc,azero_msc_upper,azero_msc_lower,distance_msc,distance_msc_upper,distance_msc_lower,teff_msc1,teff_msc1_upper,teff_msc1_lower,teff_msc2,teff_msc2_upper,teff_msc2_lower,logg_msc1,logg_msc1_upper,logg_msc1_lower,logg_msc2,logg_msc2_upper,logg_msc2_lower,ag_msc,ag_msc_upper,ag_msc_lower,logposterior_msc,mcmcaccept_msc,mcmcdrift_msc,flags_msc,neuron_oa_id,neuron_oa_dist,neuron_oa_dist_percentile_rank,flags_oa
87533,5923,43,4.02,0.07,-0.12,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13341,5821,53,4.34,0.08,0.03,0.06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113454,5665,43,4.41,0.07,-0.28,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114584,5733,46,4.40,0.07,-0.14,0.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59021,5909,50,3.83,0.07,-0.10,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100405,5416,46,4.43,0.08,-0.53,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52325,5668,49,4.39,0.08,-0.03,0.06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53765,6116,51,4.33,0.08,-0.28,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14023,5180,140,4.42,0.15,0.14,0.15,6989290475763456,1636148068921376768,6989290475763456,1.0964922817369854e-13,5.476923710563686e-13,0.9992449283599854,2.152279439740501e-12,0.0007551012095063925,0.0,0.0,0.9297401905059814,0.0,0.07025983184576035,0.0,0.0,1.0,5184.08740234375,5181.771484375,5186.123046875,4.4558000564575195,4.451700210571289,4.457099914550781,0.05310000106692314,0.043299999088048935,0.06129999831318855,32.984100341796875,32.935699462890625,33.1411018371582,0.0,0.0,0.00019999999494757503,0.0,0.0,0.00019999999494757503,0.0,0.0,0.00019999999494757503,0.0,0.0,0.00019999999494757503,0.0,0.0,9.999999747378752e-05,5.3024001121521,5.291200160980225,5.305699825286865,0.9452000260353088,0.9434999823570251,0.9506999850273132,-2752.131591796875,0.43416929244995117,MARCS,5265.0,5254.0,5278.0,4.03000020980835,4.0,4.050000190734863,0.17000000178813934,0.17000000178813934,0.18000000715255737,-0.029999999329447746,-0.03999999910593033,-0.029999999329447746,-0.07999999821186066,-0.1599999964237213,-0.009999999776482582,8,0.14000000059604645,-0.1899999976158142,-0.30000001192092896,-0.11999999731779099,2,0.07999999821186066,-0.03999999910593033,-0.05000000074505806,-0.029999999329447746,7,0.029999999329447746,0.07000000029802322,-0.029999999329447746,0.14000000059604645,2,0.05000000074505806,0.07000000029802322,-0.009999999776482582,0.15000000596046448,1,0.0,,,,,,,,,,,,,,,,,,,,,-0.05000000074505806,-0.09000000357627869,0.009999999776482582,1,0.0,,,,,,,,,,,0.029999999329447746,-0.10000000149011612,0.12999999523162842,1,0.0,,,,,861.7994384765625,0.1497279405593872,0.041999999433755875,0.03400000184774399,0.00279999990016222,-0.005900000222027302,2.86680006980896,1.4550000429153442,5,00000000000001000009900009900990099999995,-4.26348876953125,0.028651388362050056,0.024974942207336426,0,0.04750699922442436,,,,,,,,,,,,,,,,,,,,,,999,G,0.0020160104613751173,0.0002248368546133861,M1,,,,0.9439167976379395,0.9245877861976624,0.9632456302642822,0.579802930355072,0.5747051239013672,0.5848995447158813,,,,,,,20,349,0.6264662146568298,0.6243175268173218,0.6270458698272705,0.021034184843301773,0.0028716621454805136,0.371696412563324,-0.2149272859096527,0.14338552951812744,0.6977797746658325,0.0,33.968448638916016,37.13705062866211,32.31264114379883,5484.3681640625,5667.46875,4973.9970703125,4473.8388671875,5549.48828125,4237.7451171875,4.696436882019043,4.788552284240723,4.545880317687988,5.061767101287842,5.199999809265137,4.4409918785095215,0.11583023518323898,0.5629438161849976,0.0,-3305.1806640625,0.19467779994010925,0.045356784015893936,1,,,,
13366,5856,50,4.26,0.08,-0.69,0.04,28239998382321152,1636148068921376768,28239998382321152,1.0964922817369854e-13,5.476923710563686e-13,0.9992449283599854,2.152279439740501e-12,0.0007551012095063925,0.0,0.0,0.9297401905059814,0.0,0.07025983184576035,0.0,0.0,1.0,5861.55712890625,5860.0,5863.2373046875,4.282800197601318,4.281300067901611,4.286499977111816,-1.041700005531311,-1.0570000410079956,-1.0226000547409058,61.851898193359375,61.48040008544922,61.992000579833984,0.0003000000142492354,0.0,0.0010000000474974513,0.0003000000142492354,0.0,0.0008999999845400453,0.00039999998989515007,0.0,0.0010999999940395355,0.00019999999494757503,0.0,0.0006000000284984708,0.00019999999494757503,0.0,0.0005000000237487257,4.2743000984191895,4.269499778747559,4.2866997718811035,1.184000015258789,1.1765999794006348,1.1865999698638916,-2380.62890625,0.46799373626708984,PHOENIX,5833.0,5786.0,5905.0,3.9600000381469727,3.890000104904175,4.019999980926514,-0.8600000143051147,-0.9599999785423279,-0.800000011920929,0.41999998688697815,0.3799999952316284,0.46000000834465027,0.09000000357627869,-0.019999999552965164,0.20999999344348907,6,0.07999999821186066,0.36000001430511475,0.2800000011920929,0.46000000834465027,2,0.14000000059604645,0.4000000059604645,0.3499999940395355,0.4399999976158142,6,0.019999999552965164,,,,,,0.6399999856948853,0.44999998807907104,0.8899999856948853,1,0.0,,,,,,,,,,,0.3799999952316284,0.20999999344348907,0.5,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,00000000000009912001100999900999999999999,-4.343132972717285,0.09714745730161667,0.022110337391495705,0,0.1404930055141449,,,,,,,,,,,,,,,,,,,,,,94,G,0.03906482830643654,0.0002412013418506831,M1,,,,1.1878074407577515,1.1638994216918945,1.211710810661316,1.5006723403930664,1.4938743114471436,1.5073658227920532,1.022719383239746,0.9827123284339905,1.0627256631851196,7.354783058166504,6.419553756713867,8.289937973022461,00,342,0.5282789468765259,0.5276520848274231,0.5294519066810608,0.02320767380297184,-0.3765909671783447,-0.14232683181762695,-0.716900110244751,0.014876313507556915,0.17183706164360046,0.0,66.66941833496094,68.18644714355469,64.14210510253906,6277.734375,6539.2333984375,5636.0498046875,5100.4609375,5242.3408203125,4845.34375,4.795488357543945,4.8303022384643555,3.7582006454467773,4.817220687866211,5.088173866271973,3.2583446502685547,0.012622958049178123,0.14138910174369812,0.0,-974.7686157226562,0.19508352875709534,0.18842414021492004,0,,,,
