,ra_j2000,dec_j2000,primary_name,gaiaedr3_source_id,hip,hd,tic,parallax,pmra,pmdec,gmag,bp_rp,radial_velocity,spectrum_harps_1d,spectrum_harps_2d,spectrum_sophie_1d,spectrum_sophie_2d,Teff(K),Teff_err(K),logg,logg_err,Fe/H,Fe/H_err,alpha,alpha_err,vmic,vmic_err,vmac,vmac_err,vsini,vsini_err,Notes,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,Bmag,e_Bmag,Vmag,e_Vmag,Mass,Mass-err,Mass+err,Radius,Radius-err,Radius+err,Age,Age-err,Age+err,MIST logg,MIST logg-err,MIST logg+err,Density,Density-err,density+err,MIST Teff,MIST Teff-err,MIST Teff+err,logLuminosity,logLuminosity-err,logLuminosity+err,deltanu,deltanu-err,deltanu+err,numax,numax-err,numax+err,Unnamed: 75,Unnamed: 76,Unnamed: 77,ra,dec,season_length,airmass_min,airmass_mean,tyr_rise,tyr_set,eff_nights,eff_airmass_mean,eff_seeing,nb_subexp,snr_550,snr_550_texp15,sig_rv_texp15,texp_snr_250,sig_rv_osc_texp15,sig_rv_osc+gr_texp15,HZ_period_inf,HZ_period_sup,HZ_amp_inf,HZ_amp_sup,HZ_mp_min_texp15,HZ_mp_min_osc_texp15,HZ_mp_min_osc+gr_texp15
0,45.961727,6.1333013,HD19019,6963761190199424.0,14258.0,19019,365294034,31.9791,232.147,49.838,6.792566,0.709241,24.68,,,,,,,,,,,,,,,,,,,,5.542,0.198,5.43,0.052,5.599,0.016,5.882,0.029,5.645,0.071,5.57,0.016,7.474,0.023,6.92,0.023,1.08958222677421,-0.0551523293797032,0.0325223091561613,1.05164820814217,-0.0131833014610074,0.0128034781126938,9.109585339335,-0.569875434688713,0.378226607051417,4.43275296612166,-0.0267639488646125,0.0155258405205121,1.32687180107308,-0.0913428258648283,0.0593804044815132,6160.74193808882,-135.570958451233,148.295389686508,0.156509746710865,-0.030203030961952,0.0323512771523649,136.820891361115,-4.27674254985166,2.58044228083298,2966.26406842132,-4.27674254985166,2.58044228083298,,,,3.0641151333333334,6.1333013,245,1.0825798807056153,1.1245066924618057,2025.546055912376,2026.1842116330909,170.68450516324725,1.1303753717640292,0.9642719847880624,,,,,,,,502.5064206417319,1017.3583103495632,0.060058912752331724,0.07597806692787132,,,
1,49.359943,7.655811,HD20430,1.06e+16,15304.0,20430,445925825,21.2723,166.357,-6.305,7.265665,0.714235,31.35,True,True,True,True,6078.19712672415,101.3874749102,4.43953863578467,0.030090209328341,0.234,0.0085012304039221,0.0,0.0,1.29,0.07830184,5.5,0.0,2.0,0.1334245721286,,5.976,0.117,5.883,0.045,5.989,0.017,6.291,0.023,6.052,0.047,5.992,0.021,7.961,0.063,7.394,0.005,1.223854358672,-0.0036516674664774,0.0204894239432321,1.3278888020131,-0.0054290699953885,0.0055919603467515,9.46623658766286,-0.0043844396184642,0.0039786615983352,4.28056339512455,-0.0025143666791311,0.0025799549806748,0.74694575286918,-0.0073233100177841,0.0079406585357934,6078.19704041155,-0.030350633951457,0.030043510332689,0.334539499254259,-0.0036095035362361,0.00367161229538,103.206807428566,-0.499300540405585,0.534097451032579,2111.40653992616,-0.499300540405585,0.534097451032579,,,,3.290662866666667,7.655811,246,1.0711790902138785,1.1144605954915758,2025.5526348992723,2026.194080113435,170.8321699750996,1.1198859130907752,0.9609242355342684,1.0,283.0,283.0,0.2127,14.098342132442104,0.2296467494664468,0.401344218936789,710.3099904514306,1361.0219220117394,0.05056207046870728,0.06280061769421369,7.506841762421252,8.104945037607022,14.164680506915968
2,39.020424,6.886773,HD16160,1.93e+16,12114.0,16160,278962915,138.34,1778.585,1477.306,5.49832,1.198643,25.23,True,True,True,True,4881.674087,101.130281289518,4.218607684,0.0491253475785165,-0.0720958200427284,0.018317634916755,,,0.92,0.05765234084,3.48,0.0,2.0,0.0,,,,,,,,4.152,0.264,3.657,0.244,3.481,0.208,0.337,0.304,5.826,0.023,0.758928391377861,-0.019049850019438,0.0286461592672604,0.732848341537275,-0.0225191763479035,0.0221449904330688,9.88052510934513,-0.406037175484032,0.17516621768408,4.58506944397586,-0.0245088908298099,0.0292514677605151,2.72039434851081,-0.220754430375598,0.273192681016692,4890.07678546244,-76.2457873969888,84.6323966763739,-0.55933948220864,-0.0490334639064979,0.0508089666866696,196.063008094025,-7.74611372721256,9.23908868306114,4765.12925636122,-7.74611372721256,9.23908868306114,,,,2.6013616,6.886773,246,1.0766938225327964,1.1197570790566276,2025.529608445136,2026.1710536592989,173.03981675548613,1.1252079697135375,0.9572076906896212,2.0,471.0,666.0,0.0765,9.190182776172598,0.0991876769966002,0.2464285490281217,141.58631318412617,338.98083410217697,0.11017566165729406,0.14739077109967857,1.2311251245830903,1.5962410614319837,3.9658088643539418
3,36.546196,10.637804,HD15095,2.43e+16,,15095,381002396,28.3173,83.943,-258.166,7.187089,0.732744,-0.12,,,True,True,5701.17146413004,102.570730817701,3.89358704205911,0.106754240093037,-0.225,0.0811742407748931,0.0885171460291935,0.0,0.879866239651921,0.0390642514275078,4.3,0.0,0.0,0.0,,5.875,0.131,5.831,0.051,5.928,0.016,6.254,0.023,5.982,0.024,5.901,0.018,7.883,0.025,7.33,0.023,0.940590396796384,-0.0383297078491811,0.0394930991006213,1.0460923684365,-0.0094964536719297,0.0100114209551052,9.87431894715596,-0.137588712594615,0.110987396778816,4.37239371655531,-0.0247373913047726,0.0235360262410387,1.15981646010853,-0.0726415730164371,0.0731978732830725,5853.00444637597,-75.5640229685187,76.1540352997436,0.0629992378293986,-0.0161257675068536,0.0163914030415141,129.364412214032,-3.68423673525147,3.59794600391865,2650.1616726107,-3.68423673525147,3.59794600391865,,,,2.436413066666667,10.637804,249,1.0514809772793985,1.0978846555793482,2025.516450471344,2026.1677641658505,177.21246177214238,1.1044630708658103,0.9443314246376974,1.0,299.0,299.0,0.191,13.715942924239782,0.627670528945933,1.1937705294722911,282.87526909521836,640.6820755579757,0.0773369457351056,0.10156316222680781,4.327117329795361,14.219916351852186,27.04494840774102
4,38.515167,12.1808605,HD15942,2.61e+16,11941.0,15942,408819542,22.5207,183.664,-35.423,7.351462,0.797716,33.97,True,True,True,True,5693.39206526083,105.093141456589,4.02226453922385,0.109947102091904,0.332805494244456,0.0227996185099684,,,1.14312118551616,0.0733226788476456,,,,,,6.012,0.105,5.986,0.045,6.055,0.017,6.331,0.021,6.091,0.018,6.015,0.018,8.168,0.026,7.49,0.03,1.183854395122,-0.0313491967771586,0.0264439442438484,1.23419870503329,-0.0110979903494903,0.0123451198670972,9.46421496672453,-0.154092250016285,0.158503837003819,4.33090706528584,-0.0211333095504971,0.0161481034036735,0.909490665550978,-0.0532851750626244,0.0407342237828182,5926.60938008889,-86.3798959260694,70.389724270467,0.225167960371484,-0.0167538335041758,0.0157799823948268,113.744124990965,-3.05707667218422,2.3108952616589,2405.51721784485,-3.05707667218422,2.3108952616589,,,,2.5676778,12.1808605,251,1.0427516002212929,1.0906528661408186,2025.519739964792,2026.1776326461943,178.3156498357039,1.098064474535924,0.9431373238588932,1.0,284.0,284.0,0.1609,14.07349921951503,0.3599139800092722,0.7964569269265073,645.2462766663481,1253.9854059908414,0.053129322507742334,0.06630148711980596,5.289644502860218,11.832299601358542,26.183803637549673
5,43.822525,16.30919,HD18144,3.5e+16,13601.0,18144,257918985,37.3281,204.03,-46.598,7.222821,0.899191,-1.2,,,True,True,5237.62477918284,104.096578189281,3.96327766585826,0.0745771644870778,0.116,0.0856985821413687,0.0,0.0,0.223453853364424,0.157661727287608,3.03,0.0,0.0,0.0,,5.736,0.147,5.596,0.058,5.704,0.015,6.08,0.029,5.678,0.033,5.662,0.027,8.162,0.024,7.41,0.03,0.946516105086264,-0.0388677049254423,0.0373898540161158,0.911601756409095,-0.0083548628864152,0.0087103008763013,9.65200720013911,-0.365905504355453,0.229785345644535,4.495412145449,-0.0254586201774716,0.0216571024606171,1.76788593265847,-0.114338348014505,0.103676312806447,5483.66624589974,-73.1967898194989,64.8320672085547,-0.170327854910086,-0.0162261892305695,0.0151978777683231,158.564425800549,-4.84363766252582,4.32514536452567,3632.57213766869,-4.84363766252582,4.32514536452567,,,,2.921501666666667,16.30919,254,1.023681926826556,1.0745072189334568,2025.529608445136,2026.194080113435,178.58397993609782,1.079229311061713,0.9374547389582452,1.0,301.0,301.0,0.1735,13.670299060809173,0.3204380865841375,0.678771873702956,294.5381218962426,664.8972437168075,0.0758494662675514,0.09950010420551841,3.9923182232779313,7.373434077822271,15.618866402494628
6,61.595448,14.4022,HD25849,3.9e+16,19157.0,25849,311151363,17.2761,57.65,66.323,7.199268,0.652214,69.56,,,,,,,,,,,,,,,,,,,,6.043,0.106,5.933,0.043,5.99,0.018,6.32,0.026,6.089,0.02,5.985,0.018,7.708,0.02,7.3,0.03,1.3332789299446,-0.121395864686937,0.106317186703157,1.57196022999677,-0.0327500529839533,0.0350242328469306,9.33973209634193,-0.310574959405846,0.257218548239086,4.17252359077154,-0.0605106633903922,0.0482674029903087,0.49101732169736,-0.0682870687679256,0.0661535119652947,6518.73725636163,-297.837454392999,300.342773516169,0.602861724974658,-0.0629408786849737,0.0605341713169909,82.3728986266383,-4.56118185413673,3.13454615686254,1583.824352193,-4.56118185413673,3.13454615686254,,,,4.1063632000000005,14.4022,253,1.031914977779034,1.0813627160686328,2025.5723718599609,2026.2335540348115,174.544317106121,1.0896171578834406,0.9525545423477496,,,,,,,,893.2855477954489,1660.0783560944442,0.04467615823175717,0.054927341595331455,,,
7,53.23972,16.598429,HD21962,4.28e+16,16538.0,21962,435290852,20.7443,-24.141,-95.994,6.919528,0.629632,-6.19,,,,,,,,,,,,,,,,,,,,5.882,0.108,5.747,0.043,5.881,0.015,6.092,0.023,5.942,0.034,5.866,0.017,7.481,0.0,7.028,0.023,1.3406744421122,-0.0579266173834503,0.039696839630823,1.34810368814048,-0.0208692082190254,0.0192218706994158,8.83185369234186,-0.501555284218231,0.30457501096744,4.30692393076203,-0.0243020132956815,0.0189442034571661,0.775772218715527,-0.0475486072389546,0.0445827728095347,6792.45160861427,-180.097120212261,242.001615385639,0.541545503362617,-0.0363391692024,0.047161367898742,101.544602253335,-2.33709151033568,1.66548042079035,2115.41782594134,-2.33709151033568,1.66548042079035,,,,3.5493146666666666,16.598429,255,1.0226155039507303,1.0737165444206185,2025.5493454058244,2026.217106567572,178.05385158323588,1.082154746029697,0.9437562858170012,,,,,,,,910.1729564324072,1687.5610921342413,0.04421097337043019,0.054313601577399846,,,
8,58.616806,16.616053,HD24496A,4.35e+16,18267.0,24496A,242942985,48.849,214.119,-167.427,6.654032,0.885492,18.77,True,True,,,5507.27005128242,117.265758868823,4.63724672636988,0.0896759185974497,0.0612182881140318,0.0494651118571812,0.0,0.0,0.507291257845607,0.12047474739,3.31,0.0,0.0,0.0,,4.941,0.194,4.778,0.094,4.947,0.015,5.384,0.024,5.102,0.026,4.995,0.017,7.557,0.022,6.812,0.023,0.968680099782956,-0.0380316795125822,0.031965951989243,0.954030807491145,-0.008675024877926,0.0091741515904854,9.6541142579035,-0.314279775619909,0.214015206671396,4.46524222417815,-0.0243518419414377,0.0224298582380928,1.57626095384361,-0.100710650209559,0.0963545207612571,5643.79328613932,-86.9676042120218,86.1842346334515,-0.0813629383202852,-0.0207018530872382,0.0228293672552968,149.960902966968,-4.54494724986151,4.14381211075013,3345.53496791198,-4.54494724986151,4.14381211075013,,,,3.9077870666666654,16.616053,255,1.022584743492742,1.0738840495219109,2025.5625033796164,2026.230264541364,176.72213215721848,1.0819360604569948,0.9468389066240048,1.0,386.0,386.0,0.1405,12.071677124618445,0.1430851947254282,0.1947830561174515,318.1119076325314,713.7715223240443,0.07305538185183282,0.09564126507065628,3.374256457205773,3.4363426493439246,4.677921600416976
9,57.5957,17.476368,HD24040,4.38e+16,17960.0,24040,456863621,21.4719,113.433,-251.101,7.3485,0.812512,-9.18,,,True,True,5609.34119387705,102.353667319276,3.73550158964,0.0732520346112014,0.213,0.0740679950146318,0.0,0.0,0.933203229605162,0.0433284160804177,3.61,0.0,0.0,0.0,,6.01,0.111,5.915,0.044,5.989,0.016,6.279,0.027,6.038,0.042,5.969,0.02,8.17,0.095,7.515,0.009,1.11599275787211,-0.0437365068651445,0.0417203201883429,1.34454296335877,-0.0118381578875744,0.0116154803342361,9.79198107519246,-0.102474583823753,0.095600946578525,4.2295097084661,-0.0229271986590405,0.0213401539000309,0.653418498969411,-0.0411584584877537,0.0427497764433004,5813.57712664265,-68.8582935889035,73.7885072956042,0.267914645635497,-0.0147758267086441,0.0166399679478607,97.5014048527416,-2.68061123628046,2.70714330008802,1916.65158677097,-2.68061123628046,2.70714330008802,,,,3.8397133333333335,17.476368,256,1.0194340808148064,1.0704408706410649,2025.5592138861684,2026.226975047916,176.28722622317258,1.0764569897112697,0.9430782412009392,1.0,281.0,281.0,0.1934,14.14842521071022,1.4152595289917225,1.979879389846952,549.4621458189229,1095.5188057367375,0.05754414602624886,0.07242611153508632,5.903972799981198,43.204000848403986,60.44030023216016
