col0,ra_j2000,dec_j2000,primary_name,gaiaedr3_source_id,hip,hd,tic,parallax,pmra,pmdec,gmag,bp_rp,radial_velocity,spectrum_harps_1d,spectrum_harps_2d,spectrum_sophie_1d,spectrum_sophie_2d,Teff(K),Teff_err(K),logg,logg_err,Fe/H,Fe/H_err,alpha,alpha_err,vmic,vmic_err,vmac,vmac_err,vsini,vsini_err,Notes,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,Bmag,e_Bmag,Vmag,e_Vmag,Mass,Mass-err,Mass+err,Radius,Radius-err,Radius+err,Age,Age-err,Age+err,MIST logg,MIST logg-err,MIST logg+err,Density,Density-err,density+err,MIST Teff,MIST Teff-err,MIST Teff+err,logLuminosity,logLuminosity-err,logLuminosity+err,deltanu,deltanu-err,deltanu+err,numax,numax-err,numax+err,Unnamed: 75,Unnamed: 76,Unnamed: 77,ra,dec,season_length,airmass_min,airmass_mean,tyr_rise,tyr_set,eff_nights,eff_airmass_mean,eff_seeing,nb_subexp,snr_550,snr_550_texp15,sig_rv_texp15,texp_snr_250,sig_rv_osc_texp15,sig_rv_osc+gr_texp15,HZ_period_inf,HZ_period_sup,HZ_amp_inf,HZ_amp_sup,HZ_mp_min_texp15,HZ_mp_min_osc_texp15,HZ_mp_min_osc+gr_texp15,NIGHTS,FIRST_NIGHT,LAST_NIGHT,ruwe,Teff_spec,Fe/H_spec,logg_spec,vsini_spec,Teff_phot,logRHK,Teff_gspphot,logg_gspphot,source_id,teff_gspspec,logg_gspspec,mh_gspspec,alphafe_gspspec,logg_gspphot_corrected,mh_gspspec_corrected
12,61.334408,22.008905,39Tau,53112944270520832,19076.0,25680,15736408,59.4728,172.212,-130.609,5.756682,0.803842,24.11,,,,,5884.76018543594,121.587398069069,4.54102057418332,0.166765590031718,0.104,0.0907257304196064,0.0,0.0,1.25951515556692,0.0539162274922259,4.58,0.0,3.68089281230984,1.01375287622754,,4.36,0.244,4.203,0.147,4.432,0.015,4.907,0.238,4.499,0.036,4.381,0.042,6.523,0.017,5.903,0.017,1.04094177631552,-0.0392365893817448,0.0267275620578127,0.983307086072755,-0.0081800804769942,0.009651683733367,9.23216718027021,-0.481566494703632,0.335066633971554,4.47061768915576,-0.0217186740122468,0.0144732936905223,1.5463431841939,-0.0852663779997154,0.062980139241094,5833.54498761659,-78.0567880036488,77.4588965072353,0.0036214587838645,-0.0186554586305827,0.0181587806565891,148.198767383464,-3.86779745676429,2.73827960500807,3322.6059468224,-3.86779745676429,2.73827960500807,,,,4.088960533333334,22.008905,259,1.0068361539313873,1.0610261189518029,2025.5657928730643,2026.240133021708,177.86121714397095,1.0657380104262746,0.939021554645485,2.0,409.0,578.0,0.1038,9.865005783087309,0.1155150445067355,0.2500638888300594,421.3031025565775,888.9382417334455,0.0648197006034179,0.0831379538247918,2.8005875424003954,3.116666614695478,6.746876800208687,241,2020-07-29,2020-03-25,0.947341,5884.76018543594,0.104,4.54102057418332,3.68089281230984,5770,,5750.9917,4.4057,53112944270520832,5876.0,5.0,-0.12999999523162842,0.11999999731779099,4.479968548904507,-0.05529494517001603
14,58.023323,22.671633,HD24206,64085383120724864,18097.0,24206,440702883,33.5609,206.762,-339.42,7.400138,0.860472,11.23,,,True,True,5320.5235053406,103.24052883794,3.9596584020662,0.0764983855779542,0.0309999999999996,0.0853015559131887,0.0,0.0,0.429615456308443,0.0671300094363508,3.17,0.0,0.0,0.0,,5.906,0.125,5.855,0.044,5.948,0.015,6.32,0.026,5.971,0.018,5.918,0.021,8.258,0.063,7.575,0.005,0.938258846527584,-0.0377745689418736,0.0361515571892511,0.901395125065698,-0.0074697301827902,0.0083968520330962,9.61860516442642,-0.389977167700277,0.219803751790861,4.50047304748172,-0.0225294222349435,0.0215418301052992,1.80862691933145,-0.105343546211625,0.104144855046907,5542.6930701123,-66.665843483459,62.4360253697196,-0.161084751791219,-0.0150197793129376,0.0142513762653018,160.395918826074,-4.44701982753705,4.27829676326397,3661.21716050181,-4.44701982753705,4.27829676326397,,,,3.868221533333333,22.671633,260,1.0055377429271726,1.059670740438576,2025.5559243927205,2026.2335540348115,180.3095801276918,1.0679411061657684,0.9379130362722432,1.0,278.0,278.0,0.188,14.22456078395403,0.3559305179090993,0.73840227534438,282.8752690952184,640.6820755579757,0.0773369457351056,0.1015631622268078,4.222414668245666,7.994075743062009,16.584258502553645,241,2020-07-26,2020-03-22,0.8688102,5320.5235053406,0.0309999999999996,3.9596584020662,0.0,5620,-4.710548102777812,5608.762,4.4647,64085383120724864,5629.0,4.420000076293945,-0.12999999523162842,0.09000000357627869,4.54911667795173,-0.05529494517001603
30,34.355362,28.74504,HD14082A,107774202769886848,10680.0,14082A,118301925,25.2776,86.859,-74.173,6.904095,0.670002,4.32,,,,,6118.89786640587,112.134906681925,4.60499984647155,0.005810166011583,0.0972678655813445,0.0686398461850551,,,1.26860817000136,0.0282028208801267,,,7.99295683341781,0.400345937640438,,,,,,,,6.05,0.026,5.84,0.033,5.787,0.027,7.545,0.024,7.031,0.023,1.18765471681847,-0.0436545711601095,0.0405249589967438,1.2164574992558,-0.0168260446487851,0.0190212465543524,9.29426340671448,-0.32706655411409,0.221831952242827,4.34330391103629,-0.0266124992631358,0.023091040665947,0.93916416969397,-0.0709073589346547,0.0663658722840034,6203.49068341702,-102.513544464779,95.1252462907132,0.293074356288028,-0.0201556519886827,0.0216139498429742,115.185417482115,-3.84586745291045,3.45710684358761,2412.532894183,-3.84586745291045,3.45710684358761,,,,2.2903574666666664,28.74504,265,1.0000330376818278,1.0568052658416824,2025.493424017208,2026.180922139643,188.4660980750843,1.0623773692668737,0.9232227269799118,1.0,343.0,343.0,0.1751,12.806020814297074,0.1822722984826659,0.2855642853382702,661.4281100979904,1280.6472883386352,0.0524620541255404,0.0653874277596572,5.670530427498437,5.902801911113844,9.247863900728197,245,2020-07-03,2020-03-03,1.0083448,6118.89786640587,0.0972678655813445,4.60499984647155,7.99295683341781,6260,,6154.958,4.2039,107774202769886848,,,,,4.243458507519254,
33,45.608444,26.60924,51Ari,115311458058061440,14150.0,18803,34691643,47.181,233.067,-168.452,6.455846,0.857362,10.09,,,,,5673.42927587891,116.251697203957,4.44589746783745,0.173159735264312,0.151,0.108413927143912,0.0,0.0,1.13751234558662,0.0657934853919639,3.65,0.0,3.38041428835591,0.815944223763444,,5.0,0.186,4.745,0.087,5.0,0.015,5.34,0.021,5.024,0.015,4.951,0.016,7.332,0.022,6.616,0.022,1.03839719927161,-0.0343646355407692,0.025514075459651,0.972034404915772,-0.007033092253376,0.0072595976454704,9.21152839302269,-0.514610765127349,0.310096594551274,4.47969891384125,-0.0184712082675222,0.0131296977812099,1.59824022152953,-0.0734849579708561,0.0571372057407291,5770.44337811803,-64.2978066055503,62.95677862504,-0.0260653285025028,-0.0142602626370769,0.0145140815512833,150.639126346255,-3.28270600608107,2.46532734803367,3414.80427909545,-3.28270600608107,2.46532734803367,,,,3.0405629333333337,26.60924,262,1.0006580309161692,1.056146110415882,2025.52302945824,2026.207238087228,184.97424657401635,1.063782705381913,0.9300281231188762,1.0,424.0,424.0,0.1342,11.518033440636586,0.1463544403143116,0.2779043664738438,421.3031025565775,888.9382417334455,0.0648197006034179,0.0831379538247918,3.550498319459421,3.872065531903037,7.352451461518759,243,2020-07-14,2020-03-12,0.8499111,5673.42927587891,0.151,4.44589746783745,3.38041428835591,5590,,5435.6226,4.3607,115311458058061440,5670.0,4.230000019073486,0.10999999940395355,-0.009999999776482582,4.4272284504786565,0.1718195156742964
36,42.767857,30.28674,HD17674,129321160344480512,13291.0,17674,77490014,22.5233,128.348,-32.958,7.41444,0.762115,10.53,,,True,True,5707.29206997213,102.03843383368,3.96795941880538,0.0644413630222991,-0.166,0.0694887002296989,0.0656260484659398,0.0,0.98699123174917,0.0318962379960378,4.23,0.0,0.0,0.0,,6.123,0.107,6.037,0.033,6.113,0.015,6.449,0.026,6.166,0.02,6.093,0.029,8.129,0.073,7.535,0.019,0.963591842970565,-0.0339558482975276,0.0369952501231559,1.20340910103544,-0.0117016227770514,0.0117143666834278,9.95220898323681,-0.0912222533004687,0.0778238118368186,4.26112055048669,-0.023035174968367,0.0228197321632324,0.779756969035869,-0.0459109078269935,0.0490804397943725,5854.84805733542,-78.7527847612982,84.9912831484116,0.185189103033138,-0.0169957203244273,0.0179646163184287,106.888072009594,-2.85752923738919,2.89887003401886,2049.32627616249,-2.85752923738919,2.89887003401886,,,,2.8511904666666665,30.28674,265,1.0004316540932765,1.0569186065345626,2025.513160977896,2026.203948593779,187.20016951897333,1.0640831321842774,0.9292169141211276,1.0,272.0,272.0,0.2093,14.380593540888196,0.461226787603739,0.9575194751608072,306.28478948380257,689.2623488131045,0.074423616421348,0.0975282604977535,4.794074621984009,10.564527651363084,21.93224947885271,246,2020-07-10,2020-03-11,1.0886368,5707.29206997213,-0.166,3.96795941880538,0.0,5950,-4.8248415559104725,5684.1104,4.2269,129321160344480512,5951.0,4.059999942779541,-0.20999999344348907,0.10000000149011612,4.270414557825799,-0.13099976545145348
39,46.91418,36.617622,HD19308,138972467251590656,14532.0,19308,186807955,25.8035,241.076,-217.79,7.221212,0.803841,32.85,,,True,True,5622.95813091396,101.219001091906,3.87281709910775,0.0608890750824442,0.146,0.0804581853072731,0.0,0.0,1.01642130947242,0.0430969957484797,3.65,0.0,0.0,0.0,,5.928,0.111,5.8,0.041,5.882,0.015,6.157,0.021,5.908,0.023,5.84,0.017,8.024,0.026,7.36,0.03,1.09103738580623,-0.0385410552959504,0.0365439106585919,1.17205031852246,-0.0090585385252111,0.0106077610974482,9.66499050538358,-0.136803487426254,0.121767871802042,4.33847478005918,-0.0221477077865959,0.0182039788036672,0.95681658508099,-0.0544730101420866,0.0482576801223591,5884.05976448201,-73.5877506931456,67.6664095108508,0.170429860024736,-0.014636007938909,0.0151325535071775,117.349663573942,-3.08591500447798,2.64221494720475,2441.54901958516,-3.08591500447798,2.64221494720475,,,,3.127612,36.617622,268,1.0097667519958753,1.0665499830462055,2025.519739964792,2026.217106567572,188.73069257155493,1.0748528816173817,0.9367258608057476,1.0,299.0,299.0,0.1817,13.715942924239782,0.6663924351709898,1.2080245781148993,502.5064206417319,1017.3583103495632,0.0600589127523317,0.0759780669278713,5.136362238419316,18.837825756634917,34.14888181679578,247,2020-07-13,2020-03-15,1.0249114,5622.95813091396,0.146,3.87281709910775,0.0,5770,-4.855482606845242,5698.9956,4.2146,138972467251590656,5887.0,4.150000095367432,0.10999999940395355,0.009999999776482582,4.2559989309227335,0.1718195156742964
45,69.713715,23.149973,HD29419,146677879098433152,21637.0,29419,118678954,23.0344,105.627,-54.239,7.380728,0.730906,39.08,,,True,True,5888.46129082384,102.53590111537,4.00180939360382,0.0557632123960729,0.146,0.105913543583387,0.0,0.0,0.97029157984775,0.0404452411201511,4.64,0.0,0.0,0.0,,6.159,0.099,6.074,0.027,6.183,0.017,6.454,0.021,6.198,0.016,6.162,0.023,8.108,0.045,7.53,0.001,1.13611430117851,-0.0452941499564921,0.0405327761527472,1.12917382466926,-0.0091927032490022,0.009497944361188,9.30751916965463,-0.388711841444465,0.24069220266369,4.38864123752939,-0.0234055298135365,0.0199163127399196,1.11638609831408,-0.0656539817937685,0.0623984334962753,6046.47341641519,-71.5477259481922,72.151507165966,0.185553579850706,-0.0152849620589808,0.0155353793997582,125.988445977219,-3.378142169886,3.10621172072341,2705.74419105554,-3.378142169886,3.10621172072341,,,,4.647581,23.149973,260,1.004736262572728,1.0589590193086822,2025.582240340305,2026.263159475844,178.4797339143052,1.068640577155513,0.9437859648948076,1.0,273.0,273.0,0.2204,14.354231294080364,0.450705841119167,0.9642850327913508,581.1278154739673,1148.0395992376878,0.0559883393833229,0.0702521017276594,6.872567256359969,14.05402089802979,30.06857414773065,241,2020-08-05,2020-04-01,0.9371711,5888.46129082384,0.146,4.00180939360382,0.0,6090,-4.623538990273115,5944.3496,4.2831,146677879098433152,5968.0,5.610000133514404,-0.03999999910593033,0.20999999344348907,4.336281080748749,0.029872975883960887
46,63.634098,26.255913,HD26710,150694566874541824,,26710,660454449,33.155,-32.338,-116.513,7.038333,0.803426,-14.87,,,,,5839.23487307464,224.701058974751,4.50217585327,0.280338555619401,-0.0990375019186985,0.109427969484995,0.0,0.0,1.08,0.03748010293,4.59,0.0,6.05569683158648,1.23765955002721,,5.621,0.161,5.468,0.057,5.614,0.014,5.958,0.018,5.701,0.021,5.601,0.024,0.0,0.0,7.158,0.046,1.04299683075927,-0.0444545947379097,0.0247576811133134,1.00830760549163,-0.00936385485569,0.0096720494125399,9.2725954367238,-0.499163303757678,0.323316962533839,4.45069686452604,-0.0265441370537358,0.0177770007536244,1.44109960776041,-0.0945990845642421,0.0717657480462777,6017.2363006318,-88.1483487621408,99.1738537652582,0.0790433570357511,-0.0190742995732969,0.0211724949473877,142.891911798718,-4.33357110955194,3.15520136137894,3123.9649881913,-4.33357110955194,3.15520136137894,,,,4.2422732,26.255913,262,1.000932425150893,1.0562206789038873,2025.5657928730643,2026.250001502052,180.67196388553825,1.0643499102128493,0.9381858759508468,1.0,323.0,323.0,0.1764,13.196537682708504,0.1873816830830467,0.3068484660688327,421.3031025565775,888.9382417334455,0.0648197006034179,0.0831379538247918,4.722213595793245,5.016192355200591,8.21430838049061,243,2020-07-30,2020-03-28,10.672286,5997.37862332389,0.0364999999999997,4.60394932434378,6.17509177623517,5750,,5666.691,4.3732,150694566874541824,5788.0,5.019999980926514,-0.25,0.2199999988079071,4.441878477819171,-0.1688521826427332
54,79.78532,40.099052,15Aur,188771135583573504,24813.0,34411,409104974,79.6021,520.569,-664.488,4.525885,0.790791,66.53,,,,,,,,,,,,,,,,,,,,3.391,0.519,2.098,0.139,3.629,0.019,3.397,0.26,3.154,0.204,3.038,0.258,5.305,0.021,4.701,0.023,1.04275887279172,-0.311816457305742,0.0608892268743024,1.04770890828938,-0.795901377364726,0.0203033067446459,9.37505791082487,-0.593615609164143,0.429009790483736,4.43067267977463,-0.0479027874052251,0.952569034481108,1.32321102905933,-0.153494239902984,50.399966587729,6172.5479901086,-219.431991690671,77104.1140072999,0.156779716845284,-0.0487453997413607,3.26097760392192,136.64000655292,-7.23390751421573,659.448311338174,2947.91649322897,-7.23390751421573,659.448311338174,,,,5.319021333333333,40.099052,269,1.020025261522782,1.0758029129155364,2025.598687807545,2026.2960544103248,181.50396755999225,1.0830766572774733,0.953838648423144,,,,,,,,421.3031025565775,888.9382417334455,0.0648197006034179,0.0831379538247918,,,,249,2020-08-10,2020-04-14,0.8881429,,,,,5870,,5761.5337,4.2455,188771135583573504,5915.0,4.079999923706055,0.029999999329447746,0.03999999910593033,4.292213798508483,0.09611469363021867
57,70.40131,42.11845,HD29587,204358907633155840,21832.0,29587,391095065,36.647,534.631,-414.946,7.111868,0.819714,112.67,,,True,True,5484.6696376631,107.901247746924,4.01819521242533,0.113295797401957,-0.494,0.160773533832793,0.196999774479783,0.0,0.0,0.0,3.91,0.0,0.0,0.0,,5.622,0.156,5.553,0.051,5.675,0.015,6.035,0.02,5.71,0.024,5.647,0.016,7.923,0.112,7.294,0.024,0.879621767240003,-0.0435178092277227,0.0518855225511153,0.922636569176387,-0.0076143447623477,0.007535006196426,9.8861203727472,-0.231226183365974,0.142692500681202,4.45261425795434,-0.0273964977174765,0.0279384247970764,1.58078811631593,-0.101579105243605,0.115303103317341,5712.95243072255,-66.6425427195527,64.110625863711,-0.0885666558686224,-0.0149870705777165,0.0144408235830548,150.452943776355,-4.2886674141352,4.97440676440829,3226.63400466007,-4.2886674141352,4.97440676440829,,,,4.6934206666666665,42.11845,269,1.0280601583389792,1.0833567275037843,2025.5756613534088,2026.2763174496365,183.24460126159835,1.0895386362016406,0.9534902659899548,1.0,306.0,306.0,0.2256,13.558153613666011,0.3698473395760323,0.7117028552490984,223.91549969429528,520.2150210535058,0.0866237603713292,0.1147281374455764,4.487308398964092,7.356467523111943,14.156162233714555,249,2020-08-02,2020-04-06,1.8229848,5484.6696376631,-0.494,4.01819521242533,0.0,5660,-5.10778606470608,5591.7793,4.4064,204358907633155840,,,,,4.480788950435574,
