HD,HIP,Convective mass,A(Li) LTE_val,A(Li) LTE_err,A(Li) NLTE_val,A(Li) NLTE_err,[Fe/H]_val,[Fe/H]_err,Mass_val,Mass_err,Age_val,Age_err,Teff_val,Teff_err,log g_val,log g_err,vt_val,vt_err
100777,56572,0.042,0.45,0.255,0.55,0.255,0.298,0.01,1.03,0.01,5.4,0.45999999999999996,5552.0,9.0,4.32,0.02,0.88,0.03
106116,59532,0.029,0.46,0.15000000000000002,0.53,0.15000000000000002,0.157,0.004,1.04,0.01,4.7,0.41500000000000004,5681.0,4.0,4.34,0.01,0.98,0.01
108309,60729,0.018,1.01,0.05,1.06,0.05,0.131,0.005,1.09,0.01,7.1,0.24,5789.0,5.0,4.18,0.01,1.13,0.01
114729,64459,0.007,1.91,0.02,1.92,0.02,-0.307,0.007,1.04,0.015,8.2,0.25,5847.0,9.0,4.11,0.02,1.34,0.02
117105,65737,0.012,1.9,0.02,1.9,0.02,-0.307,0.006,0.98,0.01,7.9,0.275,5907.0,9.0,4.31,0.02,1.25,0.02
117207,65808,0.033,0.49,0.13,0.57,0.13,0.242,0.007,1.05,0.01,5.4,0.275,5659.0,7.0,4.3,0.02,0.97,0.02
134606,74653,0.029,0.51,0.16,0.6,0.16,0.311,0.008,1.06,0.01,5.5,0.28500000000000003,5625.0,9.0,4.29,0.02,0.97,0.02
13612B,10303,0.027,1.47,0.02,1.53,0.02,0.109,0.003,1.03,0.015,4.0,0.26,5719.0,3.0,4.36,0.01,0.95,0.01
140901,77358,0.03,0.59,0.14,0.66,0.14,0.108,0.004,1.01,0.01,2.2,0.54,5624.0,4.0,4.42,0.01,1.0,0.01
145809,79524,0.008,2.0,0.06,2.01,0.06,-0.296,0.008,1.03,0.01,8.5,0.255,5758.0,9.0,4.04,0.02,1.25,0.01
1461,1499,0.025,0.81,0.06,0.87,0.06,0.182,0.003,1.07,0.01,4.7,0.355,5751.0,4.0,4.33,0.01,1.01,0.01
161612,87116,0.034,0.42,0.11,0.5,0.11,0.2,0.007,1.03,0.015,2.6,0.595,5620.0,5.0,4.42,0.02,0.85,0.02
185615,96854,0.038,0.46,0.14,0.53,0.14,0.11,0.007,0.97,0.015,8.9,0.5,5578.0,7.0,4.28,0.02,0.93,0.02
190647,99115,0.028,0.71,0.245,0.79,0.245,0.242,0.009,1.08,0.01,8.5,0.25,5615.0,11.0,4.09,0.02,1.07,0.02
198075,102664,0.016,1.86,0.06,1.87,0.06,-0.283,0.005,0.96,0.01,4.2,0.385,5829.0,6.0,4.45,0.02,1.1,0.01
203384,105483,0.042,0.43,0.20500000000000002,0.52,0.20500000000000002,0.276,0.01,1.02,0.01,5.4,0.525,5560.0,10.0,4.31,0.02,0.94,0.03
203432,105606,0.03,0.51,0.19,0.6,0.19,0.328,0.007,1.06,0.015,3.4,0.345,5646.0,6.0,4.37,0.02,1.01,0.02
204313,106006,0.025,0.55,0.14500000000000002,0.61,0.14500000000000002,0.181,0.005,1.07,0.01,4.5,0.245,5760.0,5.0,4.32,0.01,1.03,0.01
207832,107985,0.023,1.23,0.06,1.29,0.06,0.154,0.004,1.07,0.01,1.2,0.32999999999999996,5730.0,4.0,4.44,0.01,1.01,0.01
210277,109378,0.044,0.4,0.22999999999999998,0.49,0.22999999999999998,0.205,0.011,0.98,0.015,8.6,0.565,5513.0,10.0,4.26,0.03,0.91,0.03
211415,110109,0.016,1.77,0.06,1.78,0.06,-0.23,0.004,0.98,0.01,6.5,0.405,5871.0,5.0,4.38,0.02,1.15,0.01
212708,110843,0.033,0.51,0.17,0.59,0.17,0.293,0.008,1.07,0.01,5.2,0.295,5671.0,8.0,4.27,0.02,1.0,0.02
28185,20723,0.035,0.36,0.14,0.44,0.14,0.232,0.007,1.04,0.015,4.4,0.33499999999999996,5655.0,6.0,4.32,0.02,0.96,0.02
30306,21731,0.041,0.42,0.215,0.51,0.215,0.223,0.008,1.0,0.015,7.5,0.405,5547.0,9.0,4.27,0.02,0.89,0.02
31527,22905,0.015,1.87,0.02,1.88,0.02,-0.185,0.004,1.0,0.01,5.9,0.26,5907.0,5.0,4.38,0.01,1.15,0.01
32724,23627,0.013,1.55,0.06,1.57,0.06,-0.184,0.005,1.02,0.01,8.5,0.245,5826.0,8.0,4.16,0.02,1.22,0.01
43834,29271,0.033,0.37,0.15,0.44,0.15,0.125,0.005,1.0,0.01,4.6,0.28500000000000003,5608.0,5.0,4.37,0.01,0.93,0.01
47186,31540,0.032,0.5,0.095,0.58,0.095,0.253,0.007,1.06,0.01,4.3,0.325,5674.0,6.0,4.33,0.02,0.97,0.02
53705,34065,0.014,1.09,0.07500000000000001,1.11,0.07500000000000001,-0.23,0.006,0.99,0.015,9.2,0.255,5826.0,8.0,4.29,0.02,1.17,0.02
66221,39298,0.034,0.43,0.155,0.51,0.155,0.202,0.007,1.03,0.01,6.0,0.29,5625.0,6.0,4.32,0.02,0.93,0.02
66653,39330,0.018,1.94,0.06,1.98,0.06,0.145,0.004,1.1,0.015,1.4,0.27,5869.0,4.0,4.43,0.01,1.07,0.01
67458,39710,0.013,2.1,0.02,2.11,0.02,-0.172,0.006,1.02,0.015,3.3,0.38,5904.0,7.0,4.43,0.02,1.13,0.02
70642,40952,0.03,0.52,0.14500000000000002,0.59,0.14500000000000002,0.194,0.004,1.05,0.01,3.3,0.265,5692.0,4.0,4.37,0.01,0.94,0.01
72769,42011,0.029,0.55,0.16999999999999998,0.64,0.16999999999999998,0.339,0.008,1.07,0.01,5.4,0.27,5635.0,8.0,4.27,0.02,0.98,0.02
74014,42634,0.041,0.37,0.19,0.46,0.19,0.262,0.008,1.02,0.015,6.3,0.42000000000000004,5570.0,9.0,4.29,0.02,0.91,0.02
76151,43726,0.022,1.8,0.01,1.85,0.01,0.109,0.004,1.06,0.015,1.4,0.495,5785.0,3.0,4.44,0.01,1.01,0.01
78612,44896,0.012,1.53,0.02,1.55,0.02,-0.26,0.007,1.0,0.01,9.0,0.255,5846.0,9.0,4.18,0.02,1.25,0.02
83529,47225,0.012,1.94,0.06,1.95,0.06,-0.244,0.005,1.0,0.01,6.9,0.245,5916.0,7.0,4.28,0.02,1.23,0.01
89454,50534,0.024,1.55,0.025,1.61,0.025,0.137,0.005,1.06,0.01,0.9,0.24,5722.0,5.0,4.45,0.01,1.02,0.01
95521,53837,0.019,1.59,0.06,1.62,0.06,-0.158,0.004,0.98,0.01,4.0,0.35,5771.0,5.0,4.42,0.01,0.99,0.01
96700,54400,0.015,1.28,0.06,1.3,0.06,-0.189,0.004,1.0,0.01,6.8,0.44,5878.0,6.0,4.33,0.02,1.16,0.01
